seed,adapt_regime,adapt_x,adapt_y,adapt_allzero_rate,probe_id,probe_x,probe_y,input_overlap,hidden_overlap,initial_default_rate,initial_p0,routing_at_risk,init_success,routing_collapse_step,behavior_collapse_step,final_default_rate,final_p0,final_success
4122,T6,5.0,3.0,1.0,11,2.0,5.0,-0.26606038212776184,0.6367267370223999,0.0,0.0005382007220759988,1,0.0,40,301,1.0,0.9896791577339172,1.0
4122,T6,5.0,3.0,1.0,12,4.0,5.0,-0.26606038212776184,0.6597399711608887,0.0,4.724344034912065e-05,1,1.0,60,301,1.0,0.9191697835922241,1.0
4122,T6,5.0,3.0,1.0,13,6.0,5.0,0.26606038212776184,0.8150650262832642,0.0,4.992517119717377e-07,1,0.0,40,301,1.0,0.9991703033447266,0.0
4122,T6,5.0,3.0,1.0,14,8.0,5.0,0.26606038212776184,0.8150650262832642,0.0,4.992517119717377e-07,1,0.0,40,301,1.0,0.9991703033447266,0.0
4122,T6,5.0,3.0,1.0,15,2.0,6.5,-0.7428436279296875,0.44870561361312866,0.0,2.832150869380712e-07,1,1.0,301,301,0.0,0.0004595345235429704,1.0
4122,T6,5.0,3.0,1.0,16,4.0,6.5,-0.7210147380828857,0.4993467926979065,0.0,1.863329629481214e-11,1,0.0,301,301,0.0,4.758510840474628e-05,1.0
4122,T6,5.0,3.0,1.0,17,6.0,6.5,-0.7547024488449097,0.5117762088775635,0.0,6.2387390108056655e-15,1,1.0,301,301,0.0,3.901509870729569e-08,1.0
4122,T6,5.0,3.0,1.0,18,8.0,6.5,0.22251759469509125,0.7432618737220764,0.0,1.9392548276844085e-13,1,1.0,301,200,0.09090909090909091,0.08482987433671951,0.0
4122,T6,5.0,3.0,1.0,19,2.0,8.0,-0.8697531819343567,0.34560221433639526,0.0,8.925425676320486e-11,1,1.0,301,301,0.0,2.6109111317396128e-08,1.0
4122,T6,5.0,3.0,1.0,20,3.5,8.0,-0.9307038187980652,0.4288143515586853,0.0,1.5851896618263028e-12,1,0.0,301,301,0.0,8.346685831384093e-08,0.0
4122,T6,5.0,3.0,1.0,21,5.0,8.0,-0.7100067734718323,0.499977707862854,0.0,5.685970791424744e-12,1,0.0,301,301,0.0,2.1198482500039972e-05,1.0
4122,T6,5.0,3.0,1.0,22,6.5,8.0,-0.9587253332138062,0.4200064539909363,0.0,2.804020780266392e-16,1,0.0,301,301,0.0,8.641790061325594e-10,1.0
4122,T6,5.0,3.0,1.0,23,8.0,8.0,-0.49348703026771545,0.5674123167991638,0.0,8.322527305444812e-15,1,1.0,301,301,0.0,1.7782927841381024e-07,1.0
4122,T7,5.0,7.0,1.0,0,2.0,2.0,-0.9599519371986389,0.45970436930656433,1.0,0.9953542947769165,0,1.0,nan,301,1.0,1.0,1.0
4122,T7,5.0,7.0,1.0,1,3.0,2.0,-0.9608372449874878,0.45440852642059326,0.9,0.8596681356430054,0,1.0,nan,40,1.0,0.9999940991401672,0.0
4122,T7,5.0,7.0,1.0,2,5.0,2.0,-0.5289640426635742,0.5454946160316467,0.0,0.0005172986420802772,1,0.0,30,301,1.0,0.9999904036521912,0.0
4122,T7,5.0,7.0,1.0,3,7.0,2.0,-0.6882507801055908,0.4895206093788147,0.1,0.05096891522407532,1,1.0,80,100,0.8,0.7515827417373657,0.0
4122,T7,5.0,7.0,1.0,4,8.0,2.0,-0.2801649570465088,0.5138418078422546,0.0,6.622847409376575e-11,1,1.0,301,301,0.0,0.021684492006897926,1.0
4122,T7,5.0,7.0,1.0,5,2.0,3.5,-0.8880258202552795,0.5292653441429138,0.5555555555555556,0.5605945587158203,0,1.0,nan,30,1.0,1.0,0.0
4122,T7,5.0,7.0,1.0,6,4.0,3.5,-0.9984802007675171,0.451712429523468,1.0,0.9944976568222046,0,1.0,nan,301,1.0,1.0,1.0
4122,T7,5.0,7.0,1.0,7,6.0,3.5,-0.5835326910018921,0.517680823802948,0.0,7.038683634164045e-06,1,1.0,80,301,1.0,0.8921538591384888,1.0
4122,T7,5.0,7.0,1.0,8,8.0,3.5,0.4408312141895294,0.7154920697212219,0.0,5.538399600046873e-11,1,1.0,301,60,0.2727272727272727,0.3156394064426422,0.0
4122,T7,5.0,7.0,1.0,9,2.799999952316284,2.799999952316284,-0.9599518179893494,0.4683303236961365,1.0,0.9934579133987427,0,1.0,nan,301,1.0,1.0,1.0
4122,T7,5.0,7.0,1.0,10,4.599999904632568,4.599999904632568,-0.9599519371986389,0.4837498068809509,1.0,0.9883119463920593,0,1.0,nan,301,1.0,1.0,1.0
4122,T7,5.0,7.0,1.0,11,2.0,5.0,-0.4806819260120392,0.6211482882499695,0.0,0.0005382007220759988,1,0.0,30,301,1.0,1.0,0.0
4122,T7,5.0,7.0,1.0,12,4.0,5.0,-0.4806819260120392,0.6476848125457764,0.0,4.724344034912065e-05,1,1.0,30,60,1.0,1.0,0.0
4122,T7,5.0,7.0,1.0,13,6.0,5.0,0.4806819260120392,0.8356303572654724,0.0,4.992517119717377e-07,1,0.0,40,301,1.0,0.9999330639839172,0.0
4122,T7,5.0,7.0,1.0,14,8.0,5.0,0.4806819260120392,0.8356303572654724,0.0,4.992517119717377e-07,1,0.0,40,301,1.0,0.9999330639839172,0.0
4122,T7,5.0,7.0,1.0,15,2.0,6.5,0.06652284413576126,0.7603020071983337,0.0,2.832150869380712e-07,1,1.0,60,60,1.0,0.9999999403953552,0.0
4122,T7,5.0,7.0,1.0,16,4.0,6.5,0.999986469745636,0.9948737025260925,0.0,1.863329629481214e-11,1,0.0,40,301,1.0,1.0,0.0
4122,T7,5.0,7.0,1.0,17,6.0,6.5,0.9984802007675171,0.9939966201782227,0.0,6.2387390108056655e-15,1,1.0,60,60,1.0,1.0,0.0
4122,T7,5.0,7.0,1.0,18,8.0,6.5,0.5195634365081787,0.8462411165237427,0.0,1.9392548276844085e-13,1,1.0,80,60,0.6363636363636364,0.6714884042739868,0.0
4122,T7,5.0,7.0,1.0,19,2.0,8.0,0.2801649570465088,0.8112661242485046,0.0,8.925425676320486e-11,1,1.0,80,60,1.0,0.9999973177909851,0.0
4122,T7,5.0,7.0,1.0,20,3.5,8.0,0.9225062131881714,0.969295084476471,0.0,1.5851896618263028e-12,1,0.0,60,301,1.0,1.0,0.0
4122,T7,5.0,7.0,1.0,21,5.0,8.0,0.999944269657135,0.9971708655357361,0.0,5.685970791424744e-12,1,0.0,60,301,1.0,1.0,0.0
4122,T7,5.0,7.0,1.0,22,6.5,8.0,0.8858726620674133,0.9768835306167603,0.0,2.804020780266392e-16,1,0.0,80,301,1.0,0.9999996423721313,0.0
4122,T7,5.0,7.0,1.0,23,8.0,8.0,0.9599519371986389,0.9616404175758362,0.0,8.322527305444812e-15,1,1.0,60,60,1.0,0.9999988675117493,0.0
4123,T5,7.0,5.0,0.7142857142857143,0,2.0,2.0,-0.6567102670669556,0.40794727206230164,1.0,0.9914112091064453,0,1.0,nan,301,1.0,1.0,1.0
4123,T5,7.0,5.0,0.7142857142857143,1,3.0,2.0,0.02404637634754181,0.5830665230751038,0.16,0.2512935698032379,1,0.0,10,301,1.0,1.0,0.0
4123,T5,7.0,5.0,0.7142857142857143,2,5.0,2.0,0.06869974732398987,0.6923787593841553,0.0,0.009941177442669868,1,0.0,20,301,1.0,1.0,0.0
4123,T5,7.0,5.0,0.7142857142857143,3,7.0,2.0,0.2855629026889801,0.7944290637969971,0.1,0.09975455701351166,1,1.0,60,60,1.0,1.0,0.0
4123,T5,7.0,5.0,0.7142857142857143,4,8.0,2.0,0.7541429400444031,0.9009467363357544,0.0,1.1695890566806866e-12,1,1.0,60,60,1.0,1.0,0.0
4123,T5,7.0,5.0,0.7142857142857143,5,2.0,3.5,-0.8350012302398682,0.3427371382713318,0.5833333333333334,0.5231097936630249,0,1.0,nan,100,1.0,0.9999983310699463,0.0
4123,T5,7.0,5.0,0.7142857142857143,6,4.0,3.5,0.2865213453769684,0.6976289749145508,0.06,0.05490599945187569,1,0.0,20,301,1.0,1.0,1.0
4123,T5,7.0,5.0,0.7142857142857143,7,6.0,3.5,0.49274542927742004,0.8239912986755371,0.0,2.5686168214633653e-07,1,1.0,60,60,1.0,1.0,0.0
4123,T5,7.0,5.0,0.7142857142857143,8,8.0,3.5,0.9997109770774841,0.9921887516975403,0.0,2.1462913640368092e-13,1,1.0,80,60,1.0,0.9999992847442627,0.0
4123,T5,7.0,5.0,0.7142857142857143,9,2.799999952316284,2.799999952316284,-0.6567103266716003,0.4340769946575165,1.0,0.9877557158470154,0,1.0,nan,301,1.0,1.0,1.0
4123,T5,7.0,5.0,0.7142857142857143,10,4.599999904632568,4.599999904632568,-0.6567102670669556,0.48883432149887085,1.0,0.9587740898132324,0,1.0,nan,301,1.0,1.0,1.0
4123,T5,7.0,5.0,0.7142857142857143,11,2.0,5.0,-0.997623860836029,0.26791444420814514,0.0,1.8180362530983984e-05,1,0.0,100,301,1.0,0.9907430410385132,1.0
4123,T5,7.0,5.0,0.7142857142857143,12,4.0,5.0,-0.997623860836029,0.3451458215713501,0.0,1.3135516383044887e-05,1,1.0,100,301,1.0,0.9935960173606873,1.0
4123,T5,7.0,5.0,0.7142857142857143,13,6.0,5.0,0.9929418563842773,0.9971387386322021,0.0,1.252399768093826e-12,1,1.0,60,30,1.0,1.0,0.0
4123,T5,7.0,5.0,0.7142857142857143,14,8.0,5.0,0.9996275305747986,0.9990852475166321,0.0,2.7603567760541015e-13,1,1.0,80,30,1.0,1.0,0.0
4123,T5,7.0,5.0,0.7142857142857143,15,2.0,6.5,-0.871769368648529,0.27928149700164795,0.0,1.2055815012956828e-08,1,1.0,301,301,0.08333333333333333,0.08017774671316147,1.0
4123,T5,7.0,5.0,0.7142857142857143,16,4.0,6.5,0.41439417004585266,0.7459167838096619,0.0,1.4504056844444335e-09,1,0.0,150,301,0.88,0.7389001250267029,1.0
4123,T5,7.0,5.0,0.7142857142857143,17,6.0,6.5,0.36845096945762634,0.8454134464263916,0.0,1.0640617727208923e-11,1,1.0,150,80,0.75,0.7792515754699707,0.0
4123,T5,7.0,5.0,0.7142857142857143,18,8.0,6.5,0.9935252070426941,0.9927098155021667,0.0,1.2981057743478852e-14,1,1.0,100,80,1.0,0.9999950528144836,0.0
4123,T5,7.0,5.0,0.7142857142857143,19,2.0,8.0,-0.7541429400444031,0.3167089819908142,0.0,5.965704319432774e-11,1,1.0,301,301,0.0,5.4037536756368354e-05,1.0
4123,T5,7.0,5.0,0.7142857142857143,20,3.5,8.0,0.03620238974690437,0.586646556854248,0.0,4.388328589399748e-10,1,0.0,301,301,0.0,0.01470444817095995,0.0
4123,T5,7.0,5.0,0.7142857142857143,21,5.0,8.0,0.42868322134017944,0.762740433216095,0.0,1.0994157806365479e-09,1,0.0,150,301,0.94,0.7908936142921448,0.0
4123,T5,7.0,5.0,0.7142857142857143,22,6.5,8.0,0.19251851737499237,0.808469831943512,0.0,2.4455713062282447e-12,1,0.0,301,301,0.08,0.1012081503868103,0.0
4123,T5,7.0,5.0,0.7142857142857143,23,8.0,8.0,0.6567102670669556,0.9242130517959595,0.0,3.0821195205407714e-13,1,1.0,150,100,1.0,0.9374210238456726,0.0
4123,T6,5.0,3.0,0.66,0,2.0,2.0,0.6282382607460022,0.8064618110656738,1.0,0.9914112091064453,0,1.0,nan,301,1.0,1.0,1.0
4123,T6,5.0,3.0,0.66,1,3.0,2.0,0.9886192083358765,0.959388792514801,0.16,0.2512935698032379,1,0.0,10,301,1.0,1.0,0.0
4123,T6,5.0,3.0,0.66,2,5.0,2.0,0.9943546652793884,0.9987350702285767,0.0,0.009941177442669868,1,0.0,20,301,1.0,1.0,0.0
4123,T6,5.0,3.0,0.66,3,7.0,2.0,0.9934483170509338,0.9849876165390015,0.1,0.09975455701351166,1,1.0,60,80,1.0,0.9999890327453613,0.0
4123,T6,5.0,3.0,0.66,4,8.0,2.0,0.7780210375785828,0.8800572752952576,0.0,1.1695890566806866e-12,1,1.0,301,100,0.4,0.36884617805480957,0.0
4123,T6,5.0,3.0,0.66,5,2.0,3.5,0.39640703797340393,0.7032894492149353,0.5833333333333334,0.5231097936630249,0,1.0,nan,301,1.0,0.9999971985816956,1.0
4123,T6,5.0,3.0,0.66,6,4.0,3.5,0.9933334589004517,0.9947165250778198,0.06,0.05490599945187569,1,0.0,20,301,1.0,1.0,1.0
4123,T6,5.0,3.0,0.66,7,6.0,3.5,0.9426944255828857,0.9730037450790405,0.0,2.5686168214633653e-07,1,1.0,40,301,1.0,0.9999949932098389,1.0
4123,T6,5.0,3.0,0.66,8,8.0,3.5,0.15044577419757843,0.7583983540534973,0.0,2.1462913640368092e-13,1,1.0,301,301,0.0,0.000959759927354753,1.0
4123,T6,5.0,3.0,0.66,9,2.799999952316284,2.799999952316284,0.6282382607460022,0.8116354942321777,1.0,0.9877557158470154,0,1.0,nan,301,1.0,1.0,1.0
4123,T6,5.0,3.0,0.66,10,4.599999904632568,4.599999904632568,0.6282382607460022,0.8180664777755737,1.0,0.9587740898132324,0,1.0,nan,301,1.0,1.0,1.0
4123,T6,5.0,3.0,0.66,11,2.0,5.0,-0.10591241717338562,0.47921013832092285,0.0,1.8180362530983984e-05,1,0.0,80,301,1.0,0.7757404446601868,0.0
4123,T6,5.0,3.0,0.66,12,4.0,5.0,-0.10591241717338562,0.5503891706466675,0.0,1.3135516383044887e-05,1,1.0,80,301,1.0,0.9157934188842773,1.0
4123,T6,5.0,3.0,0.66,13,6.0,5.0,0.28972896933555603,0.7512491941452026,0.0,1.252399768093826e-12,1,1.0,301,301,0.0,0.0014372915029525757,1.0
4123,T6,5.0,3.0,0.66,14,8.0,5.0,0.20097990334033966,0.7186219096183777,0.0,2.7603567760541015e-13,1,1.0,301,301,0.0,0.00014668413496110588,1.0
4123,T6,5.0,3.0,0.66,15,2.0,6.5,-0.6342633366584778,0.2769899368286133,0.0,1.2055815012956828e-08,1,1.0,301,301,0.0,0.0001373084232909605,1.0
4123,T6,5.0,3.0,0.66,16,4.0,6.5,-0.8240130543708801,0.39374515414237976,0.0,1.4504056844444335e-09,1,0.0,301,301,0.0,9.518209481029771e-06,1.0
4123,T6,5.0,3.0,0.66,17,6.0,6.5,-0.8512657880783081,0.4401819109916687,0.0,1.0640617727208923e-11,1,1.0,301,301,0.0,9.407914092207648e-08,1.0
4123,T6,5.0,3.0,0.66,18,8.0,6.5,0.06116551160812378,0.6525912880897522,0.0,1.2981057743478852e-14,1,1.0,301,301,0.0,1.343031271971995e-06,1.0
4123,T6,5.0,3.0,0.66,19,2.0,8.0,-0.7780210375785828,0.21602128446102142,0.0,5.965704319432774e-11,1,1.0,301,301,0.0,4.095957795158256e-09,1.0
4123,T6,5.0,3.0,0.66,20,3.5,8.0,-0.9777650237083435,0.3153352737426758,0.0,4.388328589399748e-10,1,0.0,301,301,0.0,4.1574597275939595e-07,1.0
4123,T6,5.0,3.0,0.66,21,5.0,8.0,-0.8149831891059875,0.40050026774406433,0.0,1.0994157806365479e-09,1,0.0,301,301,0.0,6.755342838005163e-06,0.0
